title,date,content
"배추 1포기 5500원 시대, 밥상에서 찾기 힘든 국산김치",2022-07-08,치솟는 물가 때문에 배추 1포기가 5500원을 넘어서며 김치가 금치가 되고 있다  이로 인해 대표적인 기본반찬인 국산김치가 식탁에서 사라지고 대신 가격이 저렴한 중국산이 등장하는 등 변화가 일고 있다 7일 춘천에서 한 백반집을 운영하는 김모 64 여 씨는  배추 1포기 값이 5000원이 넘어 요즈음에는 김치를 절반으로 줄였다 며  고춧가루도 절반 가격인 중국산으로 바꿨다 고 말했다 최근 폭염과 식품물가 상승으로 채소가격은 천정부지인 상태다  이날 농산물유통정보시스템 KAMIS를 보면 춘천 기준 배추 1포기 소매가격은 5660원으로 지난 해 3830원  동기간 대비 47 8% 1830원  올랐고 6월 말 5330원 보다는 330원 6 19% 이나 비싸졌다  무 1개  가격 역시 2330원으로 지난해 1762원 보다 32 2% 568원  올랐다 국내 물가 상승과 함께 김치 수입량도 상승세를 보이고 있다  관세청 수출입무역통계를 보면 지난 5월 김치 수입량은 2만4845t으로 지난해 2만1148t  동기간 대비 17 4% 증가했다 황선우 woo6745 kado net
"황덕순 노동연구원장도 사의, 친문 기관장 사퇴 이어지나",2022-07-08,황덕순 노동연구원장문재인 정부에서 대통령실 일자리수석을 지낸 황덕순 한국노동연구원 KLI  원장이 사퇴한다  7일 노동계에 따르면 황 원장은 지난 6일 원장직에서 물러나겠다는 내용의 e메일을 직원들에게 보냈다 황 원장은 문 정부 출범 이후 대통령실 고용노동비서관  일자리기획비서관을 거쳐 2019년 일자리수석으로 임명됐다  그리고 지난해 2월  낙하산  논란 속에 노동연구원장에 선임됐다  황 원장의 공식 임기는 2024년 1월까지다  1년 후면 대통령 선거인데 임기 3년의 국책연구원장 자리에 문 정부 대통령실 출신 인사가 낙점된 걸 두고  알박기 란 비판이 일었다  윤석열 정부 출범 이후 이런 비난은 더 거세졌고 결국 그는 임기를 1년6개월여 남겨놓고 사의를 표명했다 이날 홍장표 한국개발연구원 KDI 원장도 국무총리실 산하 경제인문사회연구회를 방문해 직접 사표를 제출했다  그는 전날 자신의 사퇴를 압박하는 한덕수 총리를 비판하며 사퇴 의사를 밝혔다  그는 문 정부 핵심 경제정책 기조인 소득주도성장 소주성 을 주도한 인물이다  지난해 5월 취임해 역시 임기 3년 를 다 채우지 못하고 사퇴하게 됐다 홍 원장  황 원장에 이어 문 정부에서 임명된 공공기관장의 줄사퇴가 있을 것이란 전망이 나온다  국책연구기관장만 해도 정해구 경제인문사회연구회 이사장  강현수 국토연구원장  이태수 한국보건사회연구원장  주현 산업연구원장 등이 문 정부에서 요직을 지낸  친문  인사로 분류된다 이들을 겨냥한 국민의힘과 윤석열 정부의 퇴진 압박은 점점 거세지고 있다  권성동 국민의힘 원내대표는 6일 페이스북에서  홍 원장뿐 아니라 문재인 정부 알박기 인사들은 모두 명심해야 한다  잘못된 정책과 이념으로 민생을 망쳤다면 책임지고 자리를 떠나야 한다 고 경고했다 
"원전, EU 이어 K택소노미 포함 확실…원전업계 숨통 트인다",2022-07-08,유럽연합 EU 이 원자력발전을 그린 에너지로 분류하면서 정부가 개정 중인 K택소노미 한국형 녹색분류체계 도 원전 포함이 확실시된다  국내외 택소노미 체계가 바뀌면서 한국 원전 업계의 자금 길이 더 열리게 됐다  체코 폴란드 등 동유럽 국가도 자본 확보가 수월해지면서 대 對 유럽 원전 수출이 탄력받을 것으로 전망된다 유럽의회는 6일 현지시간  본회의를 열어 원자력발전 천연가스를 포함한  그린 택소노미  안을 통과시켰다  11일까지 EU 이사회 27개국 중 20개국 이상이 반대하지 않으면 내년 1월부터 발효될 예정이다  택소노미 Taxonomy 는 탄소중립이나 친환경으로 분류될 수 있는 경제활동을 나누는 체계다  기업과 투자자 등이 활용하는  녹색금융  지침서이기 때문에  자금 조달과 투자 등에 중요한 의미를 가진다  EU로선 온실가스 발생량이 적고 안정적인 전력 공급이 가능한 원전이 일정 기준만 충족하면  그린 에너지 라고 인정해준 것이다 한국형 녹색분류체계녹색분류체계 논의를 선도한 유럽이 원전을 친환경으로 판단하면서 한국과 미국 일본 등 택소노미를 검토 중인 다른 나라에도 큰 영향을 미치게 됐다  특히 환경부가 진행 중인 K택소노미 보완 작업에서 원전이 들어갈 가능성이 매우 커졌다 지난해 말 발표한 첫 가이드라인엔 원전은 빠지고 액화천연가스 LNG 만 포함됐다  이를 바탕으로 한 시범사업이 진행 중인데  윤석열 정부가 K택소노미 개정을 내세우면서 원전 포함 여부를 검토하고 있다  새로운 수정안이 마련되면 내년부터 적용할 예정이다 환경부 관계자는  EU 논의를 참고하기로 한 만큼 원전이 녹색분류체계에 포함될 가능성은 당연히 매우 커졌다 며 이달 말 다음 달 초 새로운 초안을 내놓고 의견 수렴을 거치게 된다  최종 발표는 다음 달 이후에 이뤄질 것 이라고 말했다 국내외 모두에서  파란불 이 들어오면서 원전 업계는 기대를 표하고 있다  특히 체코 폴란드 등 유럽 수출문이 열렸다는 데 방점을 찍고 있다  원전 업계 관계자는  해외에 원전을 수출하려면 자기 돈 갖고 가서 짓는 형태다  녹색 체계 안에 들어야 은행에서 돈을 쉽게 빌릴 수 있다 면서  이번 EU 결정으로 유럽에 수출할 때 파이낸싱 자금 조달 이 굉장히 편해질 것 이라고 말했다 정동욱 중앙대 에너지시스템공학부 교수는  체코 폴란드 등의 자금 상황이 풀리면 원전 사업을 확실히 추진하게 되고  결국 수출하려는 우리에게 도움이 된다 고 밝혔다  일부 전문가는 원전이 K택소노미에 포함되더라도 곧바로 신규 투자가 이어지기는 쉽지 않다고 분석했다  EU 그린 택소노미의 경우 2025년까지 사고 확률을 낮춘 사고저항성 핵연료 ATF accident tolerant fuel 를 적용해야 하고  2050년까지 고준위 폐기물 처리장을 마련하기 위한 구체적인 계획을 내놔야 한다 환경단체는 원전의 K택소노미 포함에 반대하고  만약 포함하더라도 유럽 수준의 조건을 설정해야 한다고 주장한다  권우현 환경운동연합 활동가는  유럽의 경우를 참고해 원자력을 친환경 에너지로 인정한다면 그 기준도 유럽만큼 까다롭게 설정해야 한다 고 말했다 
"19일 방한하는 옐런, 한·미 통화스와프 부활 가능할까",2022-07-08,재닛 옐런 미 재무장관미국의 긴축과 세계적 경기 침체에 대한 공포가 퍼지면서 달러의 강세 흐름이 이어지고 있다  원화 가치가 맥을 못 추는 가운데 수입 물가에는 비상이 걸리고 자본 유출 위험도 커지는 상황이다  이에 대한 처방으로 지난해 만료된 한 미 통화스와프를 다시 체결해야 한다는 목소리가 이어지지만  현실 가능성은 높지 않다는 전망이 나온다 7일 서울 외환시장에서 원 달러 환율은 1305 5원에 거래를 시작해 전날보다 6 5원 내린 1299 8원으로 마감했다  전날에는 달러당 원화 가치가 빠르게 하락해 환율은 상승  장중 1311원을 기록하기도 했다  달러당 원화 값이 1310원대에 이른 것은 금융위기 여파가 있던 2009년 7월 이후 처음이다 추락하는 원화가치실제 당국은 외환보유액에서 조정 물량을 내보내 외환시장의 변동성을 최소화하려 하고 있다  달러 강세가 지속하면 자본이 유출되고 수입 물가가 오르는 등 경제에 악영향을 미칠 수 있기 때문이다  한국은행에 따르면 지난달 외환보유액은 전월 대비 94억 달러 감소했다  금융위기 당시인 2008년 11월 이후 13년7개월 만에 가장 큰 감소 폭이었다 결국 미국과의 통화스와프를 부활시켜 외환시장을 보호해야 한다는 지적이 꾸준히 제기되고 있다  통화스와프는 국가 간 통화를 맞교환하는 방식으로  자국 통화를 상대국에 맡기고 미리 약속한 환율로 상대국 통화를 들여올 수 있는 거래를 말한다 특히 오는 19일 재닛 옐런 미국 재무장관이 한국을 방문할 때 통화스와프 체결을 논의할 필요가 있다는 의견이 나온다  김정식 연세대 경제학부 명예교수는  옐런 장관이 이번에 통화스와프에 대한 가능성을 제시하지 않고 상황이 그대로라면 앞으로 환율이 더 뛸 가능성도 있는데  그렇다면 자본이 유출되고 무역적자가 지속하는 등 외환위기가 생길 수도 있다 고 진단했다 그래픽 김은교 kim eungyo joongang co kr한국 경제의 버팀목인 경상수지마저 위태롭다  지난 4월 적자를 기록한 뒤 한 달 만에 흑자 전환했지만  불안한 안도다  한국은행이 7일 발표한  2022년 5월 국제수지  잠정 에 따르면 5월 경상수지는 38억6000만달러 흑자로 집계됐다  한 달 만에 흑자로 돌아섰다 경상수지가 다시 흑자 궤도에 올라섰지만  지표를 뜯어보면 걱정스러운 구석이 한둘이 아니다  일단 흑자 규모가 지난해 5월 104억1000만 달러 보다 65억5000만 달러 감소했다  감소 폭으로는 2011년 5월  79억 달러  이후 최대다 익명을 요구한 정부 관계자는  한국의 외환보유액이 감소하긴 했지만  부족한 수준은 아니다 며  미국이 한국과 통화스와프를 체결할 경우 한국 외환시장에 문제가 있는 것 아니냐는 대외적 인식이 생길 여지도 있다 고 전했다  또  한국이 원한다고 해도 미국이 자국의 통화정책 틀 안에서 운영할 사안이기 때문에 한국 사정까지 고려해 체결하기는 쉽지 않다 고 했다 
답답한 코스피 2300선 횡보…증권가 제시한 투자 전략은?,2022-07-08, 배당주 통해 낮은 불확실성 취해야 지난 6일 코스피지수는 전 거래일 대비 2 13% 49 77포인트  하락한 2292 01에 마쳤다  종가 기준으로 2300을 하회한 건 지난 2020년 10월30일 2267 15  이후 1년 8개월여 만이다   이동률 기자올 들어 약세장을 지속 중인 코스피지수가 2300선에서 등락을 거듭하며 개인투자자들의 답답함도 길어지고 있다  전문가들은 코스피의 낙폭 하단 2050선 전후로 내다보는 가운데 배당주 투자를 위주로 방어할 것을 조언했다 8일 한국거래소에 따르면 전날 코스피지수는 전 거래일 대비 1 84% 42 26포인트  오른 2334 27에 마쳤다 전날 2300선 회복에 성공했지만 지난 6일 코스피지수는 전 거래일 대비 2 13% 49 77포인트  하락한 2292 01에 마쳤다  종가 기준으로 2300을 하회한 건 지난 2020년 10월30일 2267 15  이후 1년 8개월여 만이다 올해 들어 박스권에서 횡보하던 증시는 지난달 미국 연방준비제도 Fed 연준 의  자이언트 스텝  기준금리 0 75%포인트 인상 을 기점으로 본격적인 하락을 가속화 하고 있다  이에 코스피지수는 연초부터 지난 6일까지 23% 하락했다  같은 기간 코스닥은 30%넘게 미끄러졌다 성장주와 가치주  섹터를 가리지 않고 모든 업종의 주가가 무너져내리며 투자심리도 급격히 얼어붙고 있다  금융투자협회에 따르면 지난해 이 시기에 70조 원에 육박했던 증시 대기자금인 예탁금은 현재 58조 원대로 내려왔다  지난해 15조 원을 가리켰던 코스피 일평균 거래대금은 7조2000억 원 수준으로 반토막났다 한재혁 하나증권 연구원은  연초에만 하더라도 3000포인트 언저리에서 시작한 코스피지수는 경기 침체 우려로 인한 투심 악화  외인들의 매도 지속 등 악재들에 연일 하락을 기록하며 현재 2300포인트 수준까지 낙폭을 확대했다  달러 원 환율도 1300원을 돌파했고  우호적이지 않은 환율에 외인들이 적극적으로 돌아오는 것도 기대하기 힘들다  주도적 재료의 부재로 개별 테마 장세가 일어나고 있으며  동일 테마에서도 순환매가 빠르게 일어나는 변동성 높은 모습까지 포착되며 한국 주식 시장의 난이도는 무척이나 쉽지 않아졌다 고 진단했다 대신증권의  증시 7월 전망 에 따르면 코스피지수는 내년 1분기 중 저점 통과가 예상된다   더팩트 DB문제는 전문가들이 코스피 지수 하단 수준을 최대 2000선까지 잡고 있다는 것이다 대신증권의  증시 7월 전망 에 따르면 코스피지수는 내년 1분기 중 저점 통과가 예상된다  낙폭 하단은 2050선 전후로 내다봤다  현재 위치한 2300포인트 수준에서 300포인트 가량 더 하락할 수 있다는 전망이다  또한 신한금융투자는 이번 3분기 예상 저점을 2200포인트로  한화투자증권은 하반기 지수 하단을 2250포인트로 설정했다 전문가들은 이같은 하락장세에 고배당주 투자로 주가 하락률에 따른 손실을 방어할 것을 조언했다  금리 상승이 성장주에 악재가 되기에 배당주 투자를 통해 낮은 불확실성을 취해야 한다는 것이다 한 연구원은  배당주에 대해 우호적인 시각을 가지는 이유에는 금리 상승으로 인해 미래에 대한 불확실성이 증가한 것도 있다  금리 상승이 성장주에 악재가 되는 이유로는 주로 미래의 성장 실적 을 현재 가치로 할인해서 시장에서 인정받기 때문이다  금리 상승 할인율 상승 은 현재 가치를 작게 만든다 고 설명했다 이어  반대로 배당주는 가시적인 시점에 투자자의 손에 돈을 쥐어주어 상대적으로 낮은 불확실성을 제공하며  배당지급 여력이 있는 탄탄한 펀더멘털로 시장의 변동성이 높은 시기에 안정적인 모습을 기대할 수 있다  언제 반등할지 확신을 가지기 힘든 현재의 상황과 높은 시장의 변동성을 고려할 때 배당주에 대한 관심이 필요하다는 판단이다 고 덧붙였다 이경민 대신증권 연구원은  경기 경착륙과 침체가 가시화되는 국면에서는 철저히 방어적인 투자전략이 필요하다 며  올해 하반기 중 코스피의 기술적 반등이 전개될 경우 현금 비중을 확대하고  고배당 방어주 스타일로 포트폴리오 재편할 필요가 있다 고 설명했다 발로 뛰는 더팩트는 24시간 여러분의 제보를 기다립니다  카카오톡   더팩트제보  검색 이메일  jebo tf co kr 뉴스 홈페이지  http   talk tf co kr bbs report write
"교역량 줄었다, 치솟던 해상운임 꺾였다",2022-07-08, AP 연합뉴스 천장 없이 치솟던 글로벌 해상운임지수가 한풀 꺾였다  7일 한국해운협회 등에 따르면 벌크선을 대표하는 건화물선운임지수 BDI 는 지난달 30일 2240을 기록했다  한 달 전만 해도 BDI는 3000대였다  5월 BDI 평균 3073 과 비교하면 833포인트나 하락했다 또 다른 벌크선 운임지수인 케이프지수 BCI 도 지난달 30일 2434를 기록해 2500선 밑으로 내려왔다  5월 평균 3514를 찍은 후 하락세를 기록 중이다  해운협회 관계자는  미국 금리 인상과 중국 건설업 회복 지연 등으로 인한 수요 감소에 따라 운임지수가 하락하고 있다 며  원자재 시장 약세도 영향을 미쳤다 고 분석했다 벌크선뿐만 아니라 컨테이너선 운임도 하락하고 있다  최근 중국과 미국을 오가는 컨테이너 운임이 크게 떨어졌다  중국 상하이와 미국 동부를 오가는 40피트 컨테이너 운송비는 지난 5월 평균 1만533달러였는데 지난달 넷째 주는 9804달러로 1만 달러 이하로 떨어졌다  코로나19 이전인 2019년 2643달러 과 비교하면 여전히 높지만  경기 둔화로 운송비가 낮아지고 있다는 분석이다 정연승 NH투자증권 애널리스트는  원자재 가격이 급락하고 중국 내 원자재 수요 둔화가 이어지면서 운임 꺾임새가 뚜렷하다 고 봤다 그래픽 신재민 기자 shin jaemin joongang co kr벌크선은 석탄 곡물 같은 원재료를  컨테이너선은 소비재를 포함한 완제품을 운반하는 데 쓰인다  사람에 비유하면 각각 동맥과 정맥에 해당한다  운임지수의 동반 하락은 경제 침체 신호로 해석할 수 있다  그만큼 교역량이 줄었다는 걸 의미해서다  선박 운임지수가 경기선행지표로 분류되는 이유다  일례로 BDI는 2008년 5월 20일 1만1793으로 사상 최고치를 기록했지만  갑자기 찾아온 글로벌 금융위기로 같은 해 12월 5일에는 663으로 폭락했다 김병주 한국해양수산개발원 연구원은  올해 1월부터 북미 아시아 항로 컨테이너 운임이 하락세를 나타내고 있고  미국 소비 수요가 약화하며 운임이 추가 하락할 것으로 전망한다 고 말했다 그래픽 신재민 기자 shin jaemin joongang co kr이런 가운데 기업의 재고는 쌓이는 중이다  내구 소비재로 분류되는 전자제품은 재고가 특히 늘었다  삼성전자의 올해 1분기 재고자산은 49조8477억원으로 전년 동기 32조3775억원  대비 53 9% 증가했다  LG전자의 1분기 재고자산도 10조2143억원에 이른다  금융사를 제외한 시가총액 상위 30대 상장사의 3월 말 기준 재고자산은 148조원으로 지난해와 비교해 41조원이 증가했다는 분석도 있다 또 다른 내구재인 중고차 값도 꺾임새가 뚜렷하다  엔카닷컴 등에 따르면 7월 중고차 가격은 전달보다 2% 3% 넘게 내렸다  그간 신차 대기 대신 중고차에 수요가 몰렸었고 여름 휴가철은 중고차 수요가 높은 계절이라  가격 하락세는 매우 이례적이다  경기 침체 우려로 소비자가 지갑을 닫은 탓으로 보인다 기업의 재고 증가는 세계적인 현상이다  지난 5월 미국 내 소매 재고는 7053억 달러 약 916조원 로 전년과 비교해 17 3% 증가했다  지난 4월 중국 기업의 완제품 재고는 1년 전보다 20% 늘어 약 10년 만에 가장 높은 증가율을 보였다 정여경 NH투자증권 이코노미스트는  특히 컴퓨터 전자제품 등 정보기술 IT  업종 재고가 급증했다 며  향후 제조업  중심  국가들은 마진 축소에 따른 진통을 감내해야 할 것으로 보인다 고 내다봤다 일반적으로 재고가 쌓이면 관리비와 물류비가 증가한다  재고 부담을 줄이려면 제품을 할인해서 팔아야 하는데 이 과정에서 실적 악화가 불가피하다  김용춘 전국경제인연합회 고용정책팀장은  올해 상반기 주요 기업의 채용이 늘었는데  하반기에는 이에 미치지 못할 것이란 관측이 많다 며  재고 증가에서 실적 악화와 고용 감소로 이어지는 악순환을 차단하는 방안을 고심해야 한다 고 말했다 
"금감원 잇단 압박에, 금융지주 중간 배당 줄어드나",2022-07-08,전통적인 고배당주로 꼽히는 은행들이  여름 보너스 로 불리는 중간 배당 채비에 나섰다  다만  이자 장사  압박에 이은 금융당국의 대손충당금 확대 요구가 중간 배당의 변수로 떠올랐다 7일 금융감독원 전자공시시스템에 따르면 KB금융 하나금융 우리금융지주가 지난달 30일을 중간배당을 위한 기준일 주주명부폐쇄 로 공시했다  주주명부폐쇄 공시는 배당받을 주주를 확정하는 것으로 통상 배당을 위한 준비 단계로 해석한다 그래픽 차준홍 기자 cha junhong joongang co kr4대 금융지주가 중간배당에 나서는 건 주주 환원 정책에 따른 것이다  지난해 말 기준 25 26% 수준인 배당성향을 중장기적으로 30%로 끌어올리겠다는 목표다  반기 중간 배당 뿐 아니라 분기별 3 6 9 12월  배당도 늘리고 있다 아울러 금융지주사가  여름 보너스  보따리를 풀 여력도 충분하다  금리 상승에 따른 대출이자 수익 등으로 4대 금융지주는 상반기 최대 순익을 거둘 것으로 예상된다 금융정보업체 에프앤가이드에 따르면 KB 신한 하나 우리금융지주의 상반기 당기순이익 전망치는 9조2355억원 연결 기준 이다  1년 전 8조3105억원 보다 11 1% 증가한 수치다 배당 제한 족쇄가 풀린 점도 투자자가 중간 배당을 기대하는 요인이다  금융당국이 은행권에 권고했던 배당성향 20% 이내 제한 조치는 지난해 6월 말 종료됐다  이에 따라 코로나19 사태로 낮췄던 배당 수준을 정상화하고  중간 배당을 할 수 있게 됐다 하지만 부채 부실을 대비해 은행권에 대손충당금을 충분히 쌓으라는 금융당국의 압박도 커지고 있다  금융감독원은 이미 4대 금융지주를 포함한 은행권에 지난달 스트레스 테스트 재무건전성 평가 에 필요한 자료를 제출하도록 했다 금감원 관계자는  기준금리 인상과 인플레이션 등으로 국내외 불확실성이 커짐에 따라 은행권의 재무건전성을 파악하기 위해 스트레스 테스트를 시행한 것 이라고 말했다 은행업계에선 스트레스 테스트 결과가 배당에도 일부 영향을 줄 것으로 보고 있다  익명을 요청한 은행권 관계자는  스트레스 테스트에 통과하려면 증자를 하거나  이익잉여금을 늘려 자기자본비율을 확대해야 한다 며  당장은 아니어도  이익잉여금을 쌓아두려면  배당을 적극적으로 늘리긴 쉽지 않을 수 있다 고 말했다 4대 금융지주의 지난해 배당성향은 25 26% 수준이었다  KB금융 배당성향이 26%로 가장 높았고  하나금융 25 6%   우리금융 25 3%   신한금융 25 2% 이 뒤를 이었다  4대 금융지주가 지난해 주주에게 지급한 배당금은 3조7505억원이다 
송파 전셋값도 2억 뚝…매매시장 닮아가는 전세시장,2022-07-08,서울 아파트 매매에 이어 전셋값도 내림세다  부동산 시세를 살펴보는 한 시민   뉴시스 거래절벽 장기화에 따른 서울 아파트값 약세가 이어지는 가운데 전세 시장도 이와 비슷한 흐름을 보이고 있다  7일 한국부동산원 주간아파트가격동향에 따르면 4일 기준 서울 아파트 전셋값은 일주일 전보다 0 02% 하락했다  지난주  0 01% 보다 낙폭이 커졌고 4주 연속 내림세다 부동산원은  높은 전셋값에 대한 부담과 금리 인상에 따른 월세 선호 현상이 지속해서나타나며 신규 전세 수요가 감소하는 가운데  대부분 지역에서 하락세를 보이며 서울 전체 하락 폭이 확대했다 고 설명했다  서울 25개 자치구 가운데 24개구의 전셋값이 내렸다  특히 종로구  0 05%   용산구  0 04%   강북구  0 04%  등 서울 도심과 외곽 지역의 하락 폭이 컸다 실제 전세 시장도 매매 시장처럼 거래가 줄면서 매물이 쌓이고 가격이 하락하고 있다  부동산 빅데이터업체 아실에 따르면 이날 기준 서울 전세 매물은 2만9365건으로 한 달 전 2만5672건 보다 16 6% 늘었다  지난해 7월 6일 1만9852건 과 비교하면 47 9% 증가했다 가격을 1억원 이상 내린 급전세만 가끔 거래되는 상황이다  9510가구 규모의 송파구 가락동 헬리오시티 전용면적 84㎡의 경우 지난달까지만 해도 전세보증금 11억 12억원 대에 신규 전세 계약이 이뤄졌는데  최근에는 9억원 대 급전세가 시장에 나왔다 매매시장4300가구의 서대문구 남가좌동 DMC파크뷰자이 전용 84㎡도 지난달 말 7억5000만원에 신규 전세계약을 맺었지만  최근에는 6억원짜리 급전세도 등장하고 있다  강남구 대치동 은마아파트 전용 76㎡도 지난달 7억5000만원에 신규 전세 계약 건이 있었지만 6억원대 매물도 쉽게 찾아볼 수 있다 전셋값이 하락세를 보이면서  8월 전세 대란 에 대한 우려도 사그라지는 분위기다  전문가들은 높은 전세보증금과 대출 이자 부담에 월세로 갈아타는 수요가 늘었고 경기  인천 등 수도권으로 이동하는 인구가 증가하는 등 수요 분산이 이뤄지고 있어 서울 아파트 전세난이 나타나지 않을 것으로 보고 있다  권일 부동산인포 리서치팀장은  하반기 추가 금리 인상이 예고돼 있어 전세에서 월세로 갈아타는 수요가 더 늘 수 있다 고 설명했다 실제 국토교통부에 따르면 전국 주택 전 월세 거래 중 월세 비중은 4월 50 4%로 관련 통계 집계 이래 처음 전세 비중을 넘었다  5월에는 월세 비중이 59 5%로 치솟았다 한편 부동산원에 따르면 서울 아파트값은 지난주와 마찬가지로 0 03% 떨어지며 6주 연속 하락세를 이어갔다 
영끌족이 사라진다…금리 공포에 노도강 거래 ‘뚝’,2022-07-07,영끌족이 사라진다 금리 공포에 노도강 거래  뚝 KBS뉴스 재생 수34100 00   02 04자막자막화질 선택 옵션자동 앵커 아파트 시장의 하락세가 계속되고 있습니다 특히 서울 강북 지역은 거래 절벽을 맞았는데  젊은 세대들이 빚을 끌어모아 집을 샀던 지역입니다 고아름 기자가 보도합니다  리포트 30대 직장인 이 모 씨는 최근 내 집 마련 계획을 접었습니다 몇 년 사이 집값이 너무 오른데다  빚을 내기에는 가계 부담이 더 커졌기 때문입니다  이○○ 30대 무주택 직장인    대출받으면 1 2년 전보다 1 5배에서 2배 이자비를 지불해야 되는데 가계 운용에 맞는지 잘 모르겠어요  올해나 내년에  집을  구매하지 않을 것 같습니다   지난해 집 값 상승을 주도했던 2030 세대 매수세는 한풀 꺾였습니다 서울에서 아파트를 산 30대 이하 비중은 지난해 처음으로 40%를 넘어섰지만  올해 들어 다시 떨어졌습니다 지난해 집값이 더 급등할 거라는 공포에 구매가 몰렸던 강북 일대 아파트 단지는 거래 절벽을 맞았습니다 1년 사이 집값이 15% 이상 하락했고  급매물까지 나오고 있지만 찾는 사람은 없습니다 실제로 노원구  도봉구  강북구는 지난해보다 70% 넘게 거래량이 줄었습니다  서울 노원구 공인중개사    소형 아파트에다가 그래도 싼 곳이 여기다 보니까  집주인이  30 40대가 많아요  매수 문의가 없어요  IMF 때도 이렇게 없지 않았어요   정부는 청년들의 미래 소득을 인정해 대출 한도와 기간을 늘려준다고 하지만  당장 매수로 이어지기는 어려워 보입니다  권대중 명지대 부동산학과 교수    예전에 3억 4억 하던 주택이 7억  8억 돼서 지금은 대출을 받게 되면 저금리가 아닌 고금리 때는 상당히 부담스러울 수 있어요   여기에 계속 오르고 있는 물가가 가계 부담이 되는데 금리 인상까지 예고된 상황에선  빚 내서 집 살 방법이 아니라 살 수 있는 집을 공급할 방안을 고민해야 한다는 지적입니다 KBS 뉴스 고아름입니다 촬영기자 안용습 영상편집 김선영 그래픽 서수민
"""박은빈 예뻐죽겠다, 덕분에 대박"" 나흘만에 37% 오른 이 종목",2022-07-07, 박은빈 보고 투자했는데 대박 났습니다  예뻐 죽겠습니다   1화 보자마자 샀는데  이게 웬 떡인가 싶네요 배우 박은빈주식 하락장이 이어지는 가운데 모처럼 활기를 띤 종목 토론방이 있다  드라마  이상한 변호사 우영우 의 제작사 에이스토리 종목 토론방에서는 투자자들이 행복한 비명을 질렀다 7일 한국거래소에 따르면 에이스토리는 드라마 인기에 힘입어 전 거래일 대비 1550원 6 80%  오른 2만4350원에 거래를 마쳤다  전날에도 전 거래일보다 14% 오른 2만2800원에 거래를 마쳤다  주가는 지난 4일부터 4거래일 연속 상승하면서 36 8%가 올랐다  증권시장이 약세를 보이는 흐름과는 정반대의 모습이다 넷플릭스에 따르면 지난달 29일 첫 방영된 드라마  이상한 변호사 우영우 는 지난 4일과 6일한국에서 시청한 TV쇼 가운데 1위를 차지했다  시청률도 상승세다  첫 방영 당시 0 9%에 불과했지만  2화 6월30일  1 8%  전날 3화는 4%를 찍었다  드라마를 방영한 채널 ENA는 케이블인 데다가 신생이라는 점까지 고려하면 고무적인 성적으로 평가된다 드라마  이상한 변호사 우영우   사진 ENA채널 이화정 NH투자증권 연구원은 지난달 30일 리포트에서   이상한 변호사 우영우 와  빅마우스  두 작품 관련 수익에 힘입은 1분기 호실적에 이어 2분기도 유사한 흐름이 기대된다 며   지리산 으로 인한 시장 실망감을 만회하고 재도약 가능한 기회이기도 한 만큼 주목해 볼 시점 이라고 분석했다 한편 드라마  이상한 변호사 우영우 는 자폐를 가진 변호사 우영우 박은빈 분 가 법무법인에 신입 변호사로 입사해 다양한 사건을 자신만의 방식으로 해결하는 이야기를 그린다 
